"","nest","population","species","lat","lon","filename_forward","PCR_run","SRA_Run","readID"
"BC101","RAO_17","RAO","sarasinorum","27.6985","76.7439","BC101_S150_L001_R1_001.fastq.gz",1,"SRR6489721","BC101"
"BC104","RAO_17","RAO","sarasinorum","27.6985","76.7439","BC104_S153_L001_R1_001.fastq.gz",1,"SRR6489722","BC104"
"BC112","RAO_35","RAO","sarasinorum","27.6985","76.7439","BC112_S156_L001_R1_001.fastq.gz",1,"SRR6489719","BC112"
"BC117","RAO_36","RAO","sarasinorum","27.6985","76.7439","BC117_S158_L001_R1_001.fastq.gz",1,"SRR6489720","BC117"
"BC154","Himalaya_1","Himalaya","sarasinorum","30.880678","78.558679","BC154_S160_L001_R1_001.fastq.gz",1,"SRR6489725","BC154"
"BC15","A_5","A","sarasinorum","14.7825","74.5723","BC15_S139_L001_R1_001.fastq.gz",1,"SRR6489680","BC15"
"BC161","D_7","D","sarasinorum","13.0259","77.5643","BC161_S163_L001_R1_001.fastq.gz",1,"SRR6489641","BC161"
"BC163","D_7","D","sarasinorum","13.0259","77.5643","BC163_S165_L001_R1_001.fastq.gz",1,"SRR6489646","BC163"
"BC167","D_10","D","sarasinorum","13.0259","77.5643","BC167_S166_L001_R1_001.fastq.gz",1,"SRR6489643","BC167"
"BC16","A_14","A","sarasinorum","14.7825","74.5723","BC16_S140_L001_R1_001.fastq.gz",1,"SRR6489713","BC16"
"BC177","D_24","D","sarasinorum","13.0259","77.5643","BC177_S171_L001_R1_001.fastq.gz",1,"SRR6489639","BC177"
"BC39","B_11","B","sarasinorum","15.4872","74.976","BC39_S141_L001_R1_001.fastq.gz",1,"SRR6489685","BC39"
"BC54","C_1","C","sarasinorum","15.4872","74.976","BC54_S142_L001_R1_001.fastq.gz",1,"SRR6489660","BC54"
"BC5","A_1","A","sarasinorum","14.7825","74.5723","BC5_S138_L001_R1_001.fastq.gz",1,"SRR6489708","BC5"
"BC64","C_12","C","sarasinorum","15.4872","74.976","BC64_S143_L001_R1_001.fastq.gz",1,"SRR6489667","BC64"
"BC71","C_26","C","sarasinorum","15.4872","74.976","BC71_S145_L001_R1_001.fastq.gz",1,"SRR6489655","BC71"
"BC73","C_26","C","sarasinorum","15.4872","74.976","BC73_S146_L001_R1_001.fastq.gz",1,"SRR6489654","BC73"
"BC75","E_1","E","sarasinorum","13.0259","77.5643","BC75_S147_L001_R1_001.fastq.gz",1,"SRR6489729","BC75"
"BC80","E_3","E","sarasinorum","13.0259","77.5643","BC80_S148_L001_R1_001.fastq.gz",1,"SRR6489726","BC80"
"M537","KRU_3","KRU","dumicola","-22.998057","31.337268","M537_S18_L001_R1_001.fastq.gz",1,"SRR6489478","M537"
"M538","KRU_3","KRU","dumicola","-22.998057","31.337268","M538_S19_L001_R1_001.fastq.gz",1,"SRR6489475","M538"
"M541","ADDO_6a","ADDO","dumicola","-33.446046","25.730218","M541_S21_L001_R1_001.fastq.gz",1,"SRR6489497","M541"
"M542","ADDO_6a","ADDO","dumicola","-33.446046","25.730218","M542_S22_L001_R1_001.fastq.gz",1,"SRR6489454","M542"
"M572","WEE_40","WEE","mimosarum","-28.825515","29.958577","M572_S81_L001_R1_001.fastq.gz",1,"SRR6489566","M572"
"M573","WEE_40","WEE","mimosarum","-28.825515","29.958577","M573_S82_L001_R1_001.fastq.gz",1,"SRR6489533","M573"
"M593","KRU_21","KRU","dumicola","-22.945606","31.241575","M593_S30_L001_R1_001.fastq.gz",1,"SRR6489479","M593"
"M601","KRU_18","KRU","dumicola","-22.954139","31.248386","M601_S31_L001_R1_001.fastq.gz",1,"SRR6489457","M601"
"M602","KRU_18","KRU","dumicola","-22.954139","31.248386","M602_S32_L001_R1_001.fastq.gz",1,"SRR6489456","M602"
"M640","ADDO_6C","ADDO","dumicola","-33.446046","25.730218","M640_S20_L001_R1_001.fastq.gz",1,"SRR6489498","M640"
