"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"ASV_122";"Bacteria";"Actinobacteria";"Actinobacteria";"Micrococcales";"Microbacteriaceae";"Leucobacter";"zeae"
"ASV_123";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Oceanospirillales";"Halomonadaceae";"Halomonas";"Halomonas"
"ASV_124";"Bacteria";"Actinobacteria";"Actinobacteria";"Micrococcales";"Dermacoccaceae";"Yimella";"radicis"
"ASV_125";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptococcaceae";"Peptococcaceae";"Peptococcaceae"
"ASV_126";"Bacteria";"Actinobacteria";"Actinobacteria";"Micrococcales";"Intrasporangiaceae";"Janibacter";"Janibacter"
"ASV_127";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Advenella";"Advenella"
"ASV_128";"Bacteria";"Actinobacteria";"Actinobacteria";"Micrococcales";"Dermabacteraceae";"Brachybacterium";"Brachybacterium"
"ASV_129";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Achromobacter";"Achromobacter"
"ASV_130";"Bacteria";"Bacteroidetes";"Bacteroidia";"Flavobacteriales";"Weeksellaceae";"Chryseobacterium";"Chryseobacterium"
"ASV_131";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"Paracoccus";"Paracoccus"
"ASV_132";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Leuconostocaceae";"Weissella";"Weissella"
"ASV_133";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas";"Pseudomonas"
"ASV_134";"Bacteria";"Actinobacteria";"Actinobacteria";"Corynebacteriales";"Tsukamurellaceae";"Tsukamurella";"Tsukamurella"
"ASV_135";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Comamonas";"Comamonas"
"ASV_136";"Bacteria";"Bacteroidetes";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";"Sphingobacterium";"Sphingobacterium"
"ASV_137";"Bacteria";"Actinobacteria";"Actinobacteria";"Pseudonocardiales";"Pseudonocardiaceae";"Alloactinosynnema";"Alloactinosynnema"
"ASV_138";"Bacteria";"Actinobacteria";"Actinobacteria";"Streptomycetales";"Streptomycetaceae";"Streptomyces";"Streptomyces"
"ASV_139";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingobium";"Sphingobium"
"ASV_140";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Muribaculaceae";"uncultured_rumen_bacterium";"uncultured_rumen_bacterium"
"ASV_141";"Bacteria";"Actinobacteria";"Actinobacteria";"Micrococcales";"Micrococcaceae";"Micrococcus";"Micrococcus"
"ASV_142";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Pantoea";"Pantoea"
"ASV_143";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";"Rhodopseudomonas";"boonkerdii"
"ASV_144";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus";"Bacillus"
"ASV_145";"Bacteria";"Cyanobacteria";"Oxyphotobacteria";"Chloroplast";"Chloroplast";"Chloroplast";"Chloroplast"
"ASV_146";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus"
